Genus,Substantiv,IPA,Plural,Herkunft,Tags
die,Karte,ˈkaʁtə,Karten,*,
der,Espresso,ˌɛsˈpʁɛso,Espressos/Espressi,*,Getränk.Kaffee
der/die,Latte macchiato,ˈlatə maˌki̯aːto,Latte macchiato/Latte macchiatos/Latte macchiati,*,Getränk.Kaffee
der,Latte/Latte,ˈlatə,Latte,*,Getränk.Kaffee
der,Macchiato/Macchiato,maˈki̯aːto,Macchiatos,*,Getränk.Kaffee
das,Pilsner,ˈpɪlznɐ,Pilsner,*,Getränk.Alkoholgetränk
der,Snack,snɛk,Snacks,*,Essen
die,Ergänzung,ɛɐ̯ˈɡɛnt͡sʊŋ,Ergänzungen,*,
der,Wunsch,vʊnʃ,Wünsche,*,
der,Apfel,ˈap͡fl̩,Äpfel,*,Nahrungsmittel.Obst
der,Apfelsaft,ˈap͡fl̩ˌzaft,Apfelsäfte,Komposita.kein,Getränk.Saft.Fruchtsaft
das,Eis,aɪ̯s,-,*,
der,Eistee,ˈaɪ̯sˌteː,Eistees,Komposita.kein,Getränk.Erfrischungsgetränk
der,Eiskaffee,ˈaɪ̯sˌkafe,Eiskaffees,Komposita.kein,Getränk.Erfrischungsgetränk
das,Schnitzel,ˈʃnɪt͡sl̩,Schnitzel,*,Essen.Speise:Essen.Fleisch
die,Pizza,ˈpɪt͡sa,Pizzas/Pizzen,*,Essen.Speise
die,Regel,ˈʁeːɡl̩,Regeln,*,
das,Ende,ˈɛndə,Enden,de,
das,Satzende,ˈzat͡sˌʔɛndə,Satzenden,Komposita.kein,
